HOTEL_CUSTOMER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,Arrival Month,Departure Month,Duration,DEBIT_TTL,ROOMDEBIT,OTHERDEBIT,FNBDEBIT,ENTERTNDEBIT,RETLDEBIT,CREDIT_TTL,ROOMCREDIT,OTHERCREDIT,FNBCREDIT,ENTERTNCREDIT,RETLCREDIT,TOTAL_CHARGES
46,19-May-2003,22-May-2003,May,May,3.00,572.7,454.53,47.41,70.76,0,0,0,0,0,0,0,0,572.7
46,21-May-2004,24-May-2004,May,May,3.00,26,0,2,24,0,0,0,0,0,0,0,0,26
46,22-Mar-2003,28-Mar-2003,Mar,Mar,6.00,281.27,174.28,18.99,88,0,0,0,0,0,0,0,0,281.27
47,8-Mar-2002,11-Mar-2002,Mar,Mar,3.00,633.37,466.52,6,160.85,0,0,0,0,0,0,0,0,633.37
48,18-Aug-2002,20-Aug-2002,Aug,Aug,2.00,3,0,3,0,0,0,0,0,0,0,0,0,3
49,18-Feb-2002,21-Feb-2002,Feb,Feb,3.00,371.79,371.79,0,0,0,0,0,0,0,0,0,0,371.79
50,2-Jul-2003,5-Jul-2003,Jul,Jul,3.00,6,0,0,6,0,0,0,0,0,0,0,0,6
50,3-Sep-2004,5-Sep-2004,Sep,Sep,2.00,20.41,0,0,20.41,0,0,0,0,0,0,0,0,20.41
50,7-Mar-2002,10-Mar-2002,Mar,Mar,3.00,25.99,8.99,0,17,0,0,0,0,0,0,0,0,25.99
50,13-May-2004,16-May-2004,May,May,3.00,326.85,326.85,0,0,0,0,0,0,0,0,0,0,326.85
50,14-Nov-2002,17-Nov-2002,Nov,Nov,3.00,142.47,0,0,142.47,0,0,0,0,0,0,0,0,142.47
51,24-Mar-2002,26-Mar-2002,Mar,Mar,2.00,163.38,163.38,0,0,0,0,0,0,0,0,0,0,163.38
52,19-Apr-2002,21-Apr-2002,Apr,Apr,2.00,303.02,303.02,0,0,0,0,0,0,0,0,0,0,303.02
